Time,Collaboration,Cooperation,Coordination,Communication,Travail individuel,Teacher Intervention,Neutral/setup,Technical Issue,Off topic,seance
4380.0,0,0,0,1,0,0,0,0,0,Seance_3_AC_Grattoir
4410.0,1,0,0,0,1,0,0,0,0,Seance_3_AC_Grattoir
4440.0,0,0,0,1,1,0,0,0,0,Seance_3_AC_Grattoir
4470.0,0,0,0,1,0,0,0,0,0,Seance_3_AC_Grattoir
4500.0,0,0,1,1,0,0,0,0,0,Seance_3_AC_Grattoir
4530.0,0,0,1,1,0,0,0,0,0,Seance_3_AC_Grattoir
4560.0,0,0,0,1,0,0,0,1,0,Seance_3_AC_Grattoir
4590.0,0,0,0,1,0,0,0,0,0,Seance_3_AC_Grattoir
4620.0,0,0,0,0,0,1,0,0,0,Seance_3_AC_Grattoir
4650.0,0,0,0,0,0,0,1,0,0,Seance_3_AC_Grattoir
4680.0,0,0,0,1,0,0,0,0,0,Seance_3_AC_Grattoir
4710.0,0,0,1,0,0,0,0,1,0,Seance_3_AC_Grattoir
4740.0,0,0,0,0,1,0,0,1,0,Seance_3_AC_Grattoir
4770.0,0,0,1,1,1,0,0,1,0,Seance_3_AC_Grattoir
4800.0,0,0,1,1,1,0,0,1,0,Seance_3_AC_Grattoir
4830.0,0,0,1,1,1,0,0,0,0,Seance_3_AC_Grattoir
4860.0,0,0,1,1,1,0,0,0,0,Seance_3_AC_Grattoir
4890.0,0,1,0,1,1,0,0,0,0,Seance_3_AC_Grattoir
4920.0,0,0,0,1,1,0,0,0,0,Seance_3_AC_Grattoir
4950.0,0,0,0,1,0,0,0,0,0,Seance_3_AC_Grattoir
4980.0,1,1,0,0,1,0,0,0,0,Seance_3_AC_Grattoir
5010.0,0,1,0,0,1,0,0,0,0,Seance_3_AC_Grattoir
5040.0,0,1,0,1,1,0,0,0,0,Seance_3_AC_Grattoir
5070.0,0,1,0,1,1,0,0,0,0,Seance_3_AC_Grattoir
5100.0,0,0,0,1,1,1,0,0,0,Seance_3_AC_Grattoir
5130.0,1,0,0,0,1,0,0,0,0,Seance_3_AC_Grattoir
5160.0,0,1,0,1,1,0,0,0,0,Seance_3_AC_Grattoir
5190.0,0,0,0,0,1,0,0,0,1,Seance_3_AC_Grattoir
5220.0,0,0,0,1,1,0,0,0,0,Seance_3_AC_Grattoir
5250.0,0,1,0,1,0,0,0,0,0,Seance_3_AC_Grattoir
5280.0,1,0,1,0,0,0,0,0,0,Seance_3_AC_Grattoir
5310.0,1,0,0,0,1,0,0,0,0,Seance_3_AC_Grattoir
5340.0,0,0,1,1,1,0,0,0,0,Seance_3_AC_Grattoir
5370.0,1,0,0,1,0,0,0,0,0,Seance_3_AC_Grattoir
5400.0,1,0,1,0,1,0,0,0,0,Seance_3_AC_Grattoir
5430.0,0,0,0,1,1,0,0,0,0,Seance_3_AC_Grattoir
5460.0,0,1,0,0,0,0,0,0,0,Seance_3_AC_Grattoir
5490.0,0,0,0,1,0,0,0,0,0,Seance_3_AC_Grattoir
5520.0,1,0,0,0,1,0,0,0,0,Seance_3_AC_Grattoir
5550.0,0,0,0,1,1,0,0,0,0,Seance_3_AC_Grattoir
5580.0,0,0,0,1,0,0,0,0,0,Seance_3_AC_Grattoir
5610.0,0,0,1,1,0,0,0,0,0,Seance_3_AC_Grattoir
5640.0,0,0,1,1,0,0,0,0,0,Seance_3_AC_Grattoir
5670.0,0,0,0,1,0,0,0,1,0,Seance_3_AC_Grattoir
5700.0,0,0,0,1,0,0,0,0,0,Seance_3_AC_Grattoir
5730.0,0,0,0,0,0,1,0,0,0,Seance_3_AC_Grattoir
5760.0,0,0,0,0,0,0,1,0,0,Seance_3_AC_Grattoir
0.0,0,0,1,0,0,0,1,0,0,Seance_4_DTX_Cartable
30.0,0,0,1,0,1,0,1,0,0,Seance_4_DTX_Cartable
60.0,0,0,1,0,1,0,0,0,0,Seance_4_DTX_Cartable
90.0,0,0,1,0,1,0,0,0,0,Seance_4_DTX_Cartable
120.0,0,0,0,1,1,1,0,0,0,Seance_4_DTX_Cartable
150.0,0,0,0,0,1,1,0,0,0,Seance_4_DTX_Cartable
180.0,0,0,0,0,1,1,0,0,0,Seance_4_DTX_Cartable
210.0,0,0,0,1,1,0,0,0,0,Seance_4_DTX_Cartable
240.0,1,0,1,0,1,0,0,0,0,Seance_4_DTX_Cartable
270.0,1,0,0,0,1,0,0,0,0,Seance_4_DTX_Cartable
300.0,0,0,0,1,1,0,0,0,0,Seance_4_DTX_Cartable
330.0,0,0,0,1,1,0,0,0,0,Seance_4_DTX_Cartable
360.0,0,0,1,1,1,0,0,0,0,Seance_4_DTX_Cartable
390.0,0,0,0,1,1,0,0,1,0,Seance_4_DTX_Cartable
420.0,0,0,0,1,1,0,0,0,0,Seance_4_DTX_Cartable
450.0,1,0,0,1,1,0,0,0,0,Seance_4_DTX_Cartable
480.0,1,0,0,0,0,0,0,0,0,Seance_4_DTX_Cartable
510.0,0,1,0,1,1,0,0,0,0,Seance_4_DTX_Cartable
540.0,0,1,0,0,0,0,0,0,0,Seance_4_DTX_Cartable
570.0,1,1,0,0,0,0,0,0,0,Seance_4_DTX_Cartable
600.0,0,1,0,1,1,0,0,0,0,Seance_4_DTX_Cartable
630.0,0,1,0,0,1,0,0,0,0,Seance_4_DTX_Cartable
660.0,0,1,0,1,1,0,0,0,0,Seance_4_DTX_Cartable
690.0,0,1,0,1,1,0,0,0,0,Seance_4_DTX_Cartable
720.0,0,1,0,0,1,0,0,0,0,Seance_4_DTX_Cartable
750.0,0,1,0,1,1,0,0,0,0,Seance_4_DTX_Cartable
780.0,0,0,0,1,1,0,0,0,0,Seance_4_DTX_Cartable
810.0,0,0,0,1,1,0,0,0,0,Seance_4_DTX_Cartable
840.0,0,1,0,0,1,0,0,0,0,Seance_4_DTX_Cartable
870.0,0,0,0,1,1,0,0,0,0,Seance_4_DTX_Cartable
900.0,1,0,0,1,1,0,0,0,0,Seance_4_DTX_Cartable
930.0,1,0,1,1,1,0,0,0,0,Seance_4_DTX_Cartable
960.0,0,1,0,0,0,0,0,0,0,Seance_4_DTX_Cartable
990.0,0,1,0,0,1,0,0,0,0,Seance_4_DTX_Cartable
1020.0,0,0,0,1,0,0,0,0,0,Seance_4_DTX_Cartable
1050.0,0,1,0,0,1,0,0,0,0,Seance_4_DTX_Cartable
1080.0,0,1,0,1,1,0,0,0,0,Seance_4_DTX_Cartable
1110.0,0,1,0,0,1,0,0,0,0,Seance_4_DTX_Cartable
